city,country,rent_for_one_person,transportation_public,grocery_for_one_person,entertainment,fitness,utility_bills,shopping,childcare_for_one_child,monthly_salary,price_for_toyota_corolla_1.6L_new_car,property_price,monthly_saving
Saint Petersburg,Russia,495.17,57.41,153.44,127.82,29.95,125.43,325.71,469.49,736.37,22008.03,2270.74,-578.56
Istanbul,Turkey,267.48,51.78,145.14,125.22,28.61,87.59,198.3,322.55,497.04,23797.18,1124.17,-407.09
Izmir,Turkey,194.13,45.62,131.37,98.04,23.53,75.99,171.71,241.89,446.96,23824.67,777.87,-293.44
Helsinki,Finland,994.68,102.26,268.13,284.68,39.38,122.06,362.84,400.82,2716.12,27819.16,6580.02,542.09
Chisinau,Moldova,240.8,16.79,125.49,95.71,30.37,141.52,310.7,239.99,327.12,19651.47,851.55,-634.26
Milan,Italy,1043.88,82.76,302.33,235.75,75.95,226.06,389.39,703.69,1825.14,26486.0,6806.63,-530.98
Cairo,Egypt,169.72,18.67,112.4,129.82,29.86,46.58,294.8,138.11,252.74,23963.13,628.54,-549.13
Banja Luka,Bosnia And Herzegovina,216.29,51.96,132.38,83.81,23.6,188.53,271.43,146.72,490.99,18844.18,1331.81,-477.02
Baku,Azerbaijan,255.38,21.92,110.4,98.68,34.69,67.33,288.68,238.08,335.19,21163.63,1114.31,-541.89
Guadalajara,Mexico,282.95,37.02,144.46,113.86,28.03,59.25,223.72,166.15,568.5,17760.16,1104.88,-320.8
Kathmandu,Nepal,146.22,28.67,119.75,107.21,27.38,48.09,160.02,63.75,209.95,52687.3,1040.13,-427.37
Hanoi,Vietnam,291.1,23.55,188.1,90.33,27.43,89.72,228.44,189.87,404.27,38180.47,1555.47,-534.41
Ho Chi Minh City,Vietnam,402.07,25.11,172.69,98.09,24.49,73.04,245.17,125.0,395.74,35089.39,1949.29,-644.91
Mexico City,Mexico,508.76,26.24,147.52,118.51,56.5,66.38,251.42,240.6,679.78,16923.13,2067.6,-495.55
Rome,Italy,949.98,88.12,267.49,223.53,65.86,235.06,351.34,597.2,1671.31,26830.23,5328.26,-510.07
Monterrey,Mexico,313.76,33.47,154.22,129.23,39.08,87.95,224.98,226.84,792.82,16440.33,942.63,-189.86
Yekaterinburg,Russia,322.33,40.72,134.2,113.59,40.48,138.33,303.64,227.7,613.31,21468.59,1349.68,-479.98
Sarajevo,Bosnia And Herzegovina,242.31,51.71,140.49,95.9,30.21,190.27,274.39,187.72,554.18,20156.48,1530.4,-471.09
Kharkiv,Ukraine,321.72,21.91,114.64,85.36,21.18,141.28,346.62,201.19,384.64,24016.54,847.44,-668.07
